膜翅目_蚁科_火蚁属_红火蚁,Solenopsis_invicta
鞘翅目_叶甲科_叶甲亚科_马铃薯甲虫,Leptinotarsa_decemlineata
鳞翅目_夜蛾科_灰翅夜蛾属_草地贪夜蛾,Spodoptera_frugiperda
膜翅目_姬小蜂科_啮小蜂亚科_刺桐姬小蜂,Quadrastichus_erythrinae
同翅目_粉虱科_小粉虱属_烟粉虱,Bemisia_tabaci
鳞翅目_夜蛾科_灰翅夜蛾属_美洲斑潜蝇,Liriomyza_sativae
鞘翅目_铁甲科_叶甲虫属_椰心叶甲,Brontispa_longissima
膜翅目_姬小蜂科_桉树枝瘿姬小蜂,Leptocybe_invasa
鳞翅目_辉蛾科_扁蛾属_蔗扁蛾,Opogona_sacchari
半翅目_网蝽科_网蝽属_悬铃木方翅网蝽,Corythucha_ciliata
同翅目_绵粉蚧科_绵粉蚧属_扶桑绵粉蚧,Phenacoccus_solenopsis
鞘翅目_沼泽象科_稻水象甲属_稻水象甲,Lissorhoptrus_oryzophilus
鞘翅目_小蠹科_大小蠹属_红脂大小蠹,Dendroctonus_valens
鞘翅目_竹象科_棕榈象属_红棕象甲,Rhynchophorus_ferrugineus
鳞翅目_灯蛾科_白蛾属_美国白蛾,Hyphantria_cunea
鳞翅目_卷蛾科_小卷蛾亚科_苹果蠹蛾,Cydia_pomonella
